	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96
gene285	2777.24	4409.92	1408.2	1236.63	1126.67	3020.98	2537.66	1754.54	5086	2470.65	1727.45	1259.67	1460.27	1108.67	2260.7	955.63	1931.14	805.98	675.44	552.1	660.63	380.98	1854.44	762.11	842.82	924.86	799.47	513.27	511.83	746.12	627.29	662.66	542	332.64	482.67	844.52	507.73	519.62	738.41	634.57	678.76	431.27	564.06	682.75	124.8	365.86	262.61	410.13	263.71	362.61	754.22	274.28	369.9	335.4	313.9	409.89	601.55	433.76	450.38	176.15	315.61	473.78	390.97	381.32	236.81	252.25	436.4	291.76	740.51	746.51	731.62	840.27	644.47	1803.35	378.56	578.77	424.58	593.39	450.65	593.21	605.98	465.71	567.06	689	476.91	0	790.68	889.45	559.43	463.02	352.07	1095.59	785.18	644.51	777.17	699.54
gene286	132.04	13.62	3.67	4.86	12.55	76.02	298.34	132.78	220.4	109.38	8.3	147.2	58.42	5.6	5.16	10.17	95.83	8.39	6.5	46.81	3.93	110.36	154.79	16.21	319.65	123.13	8.06	331.74	0	77.75	6.96	303.59	8.54	3.78	1.59	0.02	2.64	10.3	332.68	120.46	104.3	134.65	5.81	9.81	130.34	11.59	9.14	11.05	9.93	3.7	3.44	12.6	14.78	4.02	3.9	6.09	116.06	93.69	3.51	0	12.01	8.18	47.72	36.52	12.84	77.02	6.3	304.88	3.61	365.54	98.32	1.36	3.83	25.43	3.59	28.7	275.58	1.76	10.96	15.87	7.28	191.46	9.31	97.6	60.66	101.89	28.65	2.47	162.36	5.31	16.78	2.28	7.62	32.74	98.56	53.53
gene287	11919.21	11377.91	14971.53	12033.91	9536.88	11307.73	12174.11	11080.61	11708.3	15934.75	12603.95	8312.19	9557.7	9356.66	10963.09	10259.56	10598.47	9744.07	8309.8	8731.5	9170.47	6724.84	10848.15	9684.06	15370.85	12480.97	8991.42	7372.47	9332.84	10044.95	17560.45	11742.07	10425.23	14572.92	11589.54	16483.79	13806.86	17577.69	12861.44	12617.87	13816.04	7583.53	11200.86	14850.71	13575.84	10022.8	12593.98	18011.21	13721.93	11457.05	14855.22	13019.04	15090.16	11699.82	10609.37	15403.5	14831.17	10074.75	14209.21	12192.47	11671.55	9735.66	11620.09	11297.65	12526.04	12011.17	13823.19	10816.2	15010.67	15108.44	11322.6	14228.75	13171.28	1686.59	10767.77	10060.27	11168.87	15001	11731.1	10644.4	12485.44	11746.39	11855.99	10556.4	11546.39	894.41	12656.17	10206.75	9023.96	13221.2	8055.96	15513.69	19113.93	11045.57	14218.44	9166.92
gene288	41.78	4.95	77.23	146.51	58.9	32.98	126.89	47.8	16.29	25.99	118.87	33.62	24.6	90.52	6.02	145.37	133.16	100.69	141.57	18.57	140.18	17.88	123.48	99.97	29.92	6.76	210	35.84	4.48	167.79	199.64	201.16	10.82	15.55	89	84.07	113.54	37.3	88.17	5.52	1.9	125.97	43.66	9.66	282.36	2.58	100.38	36.02	35.2	51.39	177.25	35.66	8.8	46.67	251.63	122.3	145.49	24.62	359.36	245.11	163.33	69.72	21.41	18.4	34.85	10.33	44.99	89.82	298.27	2.15	73.26	56.16	97.04	39.31	181.81	29.9	2.85	4.74	493.79	317.98	23.16	113.13	1.09	16.53	4.35	42.39	206.9	41.13	80.46	19.77	12.73	416.46	1.32	74.31	296.05	40.14
gene289	1311.05	742.73	1651.67	768.31	857.78	989.52	791.55	824.09	937.17	171.24	624.68	863.3	1004.81	919.81	373.6	1065.92	1056.96	1080.71	473.49	1293.84	797.13	1045.09	1001.65	854.12	764.91	715.26	659.79	507.03	889.11	1227.31	547.41	957.08	511.22	739.99	949.37	695.66	782.16	1575.24	1454.09	1039.96	1210.59	1218.79	577.56	1029.03	2686.64	652.52	559.57	1144.38	751.43	1274.87	1666.59	787.34	735.93	796.06	1252.82	795.41	961.56	774.56	1324.25	211.01	689.38	699.53	730.68	735.19	1444.07	609.2	516.93	697.71	2443.12	522.72	1670.54	610.19	467.14	2620.7	656.88	723.7	1068.83	671.33	817.39	1485.67	1789.8	726.81	1307.24	438.36	700.72	388.87	790.68	1171.4	799.41	559.46	1669.11	706.01	800.65	948.54	428.53	880.26
gene290	2631.79	3157.61	2723.22	2412.97	2216.41	4312.31	2038.58	2424.47	3657.66	4396.32	3628.5	1924.94	1993.45	2046.87	2852.63	2240.12	2753.71	1850.15	2360.78	1900.86	1936.78	1171.48	3093.69	1613.71	2738.04	2956.79	2475.99	1670.26	1935.2	1774.06	3803.05	2813.87	1861.98	2202.89	2140.55	2744.87	3003.08	3921.1	2915.61	2644.41	3492.2	2084.91	3514.81	2902.09	3429.57	2472.36	3469.21	6877.61	2620.3	2241.92	2602.9	2665.07	2283.4	3064.87	2634.21	2844.92	2905.99	2352.37	3686.02	2604.88	2284.98	2341.07	2811.43	2550.47	2075.74	2772.52	4106.89	1821.14	5664.04	3613.85	2310.27	3748.12	2510.59	12190.92	2921.99	2512.21	2573.95	4567.43	2631.01	1963.43	2759.62	2534.46	3270.2	2360.48	2584.31	4709.66	2075.53	1964	2188.04	3843.35	1954.42	3405.42	1965.93	2971.61	2999.72	2901.29
gene291	647.18	14.13	699.48	434.29	114.78	610.34	245.43	31.9	199.46	2.38	79.41	278.95	303.75	252.81	41.93	93.91	217.54	181.75	223.02	159.34	97.63	293.7	198.58	34.16	254.33	19.38	92.19	311.82	369.65	0	342.97	31.51	388.14	675.07	130.62	68.4	185.1	0	311.93	0	371.26	105.1	9.92	0	5.6	281.49	0.86	181.59	291.29	495.81	39.47	140.15	486.89	1.92	243.71	356.72	90.58	36.27	133.72	797.51	176.68	334.78	681.38	221.37	19.01	196.71	24.57	354.09	0.39	0.86	1014.3	922.78	379.67	12.97	371.19	51.17	148.94	471.66	691.39	152.72	1.81	158.12	164.64	323.21	0	38.89	157.84	996.94	112.41	155.96	1073.58	0	0	25.46	566.53	386.02
gene292	20.48	48.29	363.84	32.5	241.78	1.21	5.65	40.99	301.67	0	149.84	4.13	93.95	4.25	4.05	9.13	276.1	10.96	8.34	123.63	4.96	97.2	192.73	10.04	0	20.79	44.33	37.82	1.42	1.57	3.29	413.57	2.44	66.91	229.97	1.52	2.08	0	138.08	0.79	2.49	5.63	7.93	5.58	81.27	107.94	27.02	6.15	46.85	28.93	291.25	128.26	66.24	12.17	126.4	2.28	2.21	518.31	1.14	85.13	10.33	141.47	368.29	576.01	7.1	300.45	66.27	6.15	11.8	5.36	25.95	6.92	3.19	12.97	8.22	9.04	7.97	14.81	4.51	62.78	0.22	153.7	554.18	9.22	6.3	0	10.03	76.93	94.08	4.6	37.45	41.23	192.48	114.63	36.53	14.57
gene293	7.24	25.69	42.3	23.77	239.21	0	10.55	31.9	194.43	0	0	374.42	21.29	502.8	190.64	248.78	4.83	1.84	495.79	52.19	62.58	59.55	26.71	26.28	69.2	0	156.72	188.07	0	6.27	0	151.82	258.71	20.46	9.56	650.87	8.32	2.49	76.39	0	559.17	45.91	65.61	0.88	30.82	222.79	15.52	621.47	63.77	0	156.79	122.67	49.99	3.83	157.71	42.1	111.48	107.79	125.36	5.59	1.72	233.91	234.92	8.08	26.4	25.65	22.6	25.44	0	515.86	487.75	29.81	116.29	0	253.41	17.54	248.68	67.11	33.16	126.21	5.42	0	110.09	0.72	87.85	0	34.57	0.56	81.04	11.83	99.46	3.26	2.84	217.5	276	19.19
gene294	2.41	19.27	3.53	237.67	102.03	13.45	23.75	85.07	7.53	247.34	58.19	22.02	237.04	3.01	22.87	28.01	178.86	247.84	61.76	21.97	0	21.83	30.05	21.02	106.6	1.76	6.59	93.43	4.03	6.27	0	71.61	67.75	57.67	431.66	0	14.56	0	50.93	0	217.52	219.86	43.49	118.05	286.76	52.51	4.32	17.22	39.64	92.5	59.2	22.3	295.48	0	21.41	0	13.94	83.13	44.92	159.38	186.97	58.43	0	4.85	430.41	17.1	319.09	0	33.48	280.73	172.74	761.76	132.23	0	23.57	43.86	26.28	268.8	56.14	172	3.61	119.13	395.56	9.36	0	1944.37	0	365.74	33.98	38.99	165.77	421.48	22.76	209.51	243.61	38.39
gene295	4.83	44.45	562.25	45.37	257.62	587.01	2.64	98.36	160.57	88	30.12	33.77	616.01	1	0	385.53	209.08	0	0	32.96	162.71	11.91	2.23	157.68	0	109.23	33.28	81.29	114.23	62.68	0	0.95	0	5.58	1.59	23.45	31.2	24.36	0	77.93	4.56	93.02	0	3.52	4	39.6	361.95	0	15.51	31.45	17.94	13.38	247.16	42.17	341.2	50.96	290.32	7.56	0	7.46	80.62	31.58	3.36	25.85	63.96	0	12.78	139.94	423.98	80.09	14.23	20.54	1.14	0	469.44	5.85	18.98	51.99	91.19	11.86	0	95.31	12.22	0	156.9	0	88.69	0	104.57	11.84	1.58	0	158.48	0	0	59.72
gene296	107.97	57.13	94.93	169.55	13.03	15.44	1.48	48.2	194.62	33.39	349.33	77.77	2.85	15.55	4.93	93.43	67.55	40.63	19.39	214.58	79.23	252.82	7.81	129.8	8.98	190.35	84.09	26.32	28.56	406.13	39.78	129.47	487.61	315.96	492.77	1.47	10.59	618.58	8.47	2.36	1.06	286.73	68.57	33.67	3.51	0.84	366.99	352.29	291.7	2.42	229.2	18.07	28.82	4.73	1.46	29	278.99	1.44	296.82	5.9	171.94	113.2	369.19	204.21	41.76	133.56	60.92	8.27	1.16	1.59	112	19.12	155.15	34.9	6.32	155.25	15.71	100.31	3.58	102.34	16.72	2.64	0.9	14.68	6.21	21.78	10.63	278.75	73.09	274.23	11.07	1.16	1.24	53.18	7.26	2.15
gene297	379.11	705.25	1016.98	1207.8	176	161.45	960.39	603.45	565.74	2627.64	850.92	1057.28	70.97	806.3	383.76	884.67	636.9	385.52	1296.95	527.38	505.65	400.87	117.98	569.54	383.37	766.43	47.57	769.23	1065.33	478.51	1163.73	993.03	141.62	2155.7	813.98	510.03	798.65	1061.39	451.98	677.27	990.85	669.25	516.55	826.38	532.95	308.37	262.14	1211.63	627.23	320.06	328.3	512.97	778.11	385.24	175.47	841.76	1507.37	662.48	306.08	1189.44	456.44	593.26	325.04	96.95	605.91	932.12	553.29	491.91	573.46	676	516.2	837.36	155.06	64.87	356.76	1022.27	833.8	811.76	2057.84	658.35	306.94	589.17	306.03	881.66	847.14	58.33	688.47	563.83	399.96	736.66	6.32	1346.43	916.5	220.23	0	35.57
gene298	144.89	75.1	0	164.21	0	0	160.95	2.66	0	0	2.74	49.92	0	111.36	303.71	77.44	74.93	23.87	0	85.15	468.13	31.75	0	204.98	63.59	0	0	131.04	33.6	236.61	0	281.67	8.21	1.86	992.38	322.43	0	0	0	0	0	477.17	0	1.76	155.06	0	124.39	538.49	49.98	135.05	464.64	109.28	0	134.16	454.28	19.94	0	0	0	0	44.6	0	107.39	95.33	19.01	12.83	175.91	69.97	0	0	0	11.92	0	0	134.09	73.1	45.27	200.33	0	0	0	0	0	921.51	391.15	0	0	0	56.6	0	0	0	145.48	0	239.69	88.1
gene299	5182.49	6730.81	7506.06	5226.58	4203.46	10756.89	4538.82	4931.94	8168.28	9353.7	5955.96	4828.32	4772.26	5257.94	6818.38	5955.89	6893.08	4196.67	4864.43	3809.46	5477.87	3608.46	6641.56	3505.73	7191.54	6343.41	4571.38	4235.96	5958.75	5418.74	9007.38	7067.44	5237.29	5346.56	6825.37	6464.35	6769.91	7938.83	7944.67	7541.24	6858.15	4120.42	6860.77	8583.91	7807.39	5638.89	8079.57	11731.33	6154.04	5867.58	4753.09	4933.59	6431.19	5674.67	5016.63	5923.85	5880.45	6418.68	6696.59	5498.52	5564.85	5172.51	6476.46	5327.23	6398.76	5647.88	8623.33	4437.5	9366.39	7960.95	7198.31	9719.51	4780.57	5630.61	6556.74	5369.02	6069.14	9693.03	4503.3	4867.02	6046.9	6658.38	8044.66	5511.1	5750.91	213.88	4485.4	7163.59	5268.5	9478.04	3740.95	10175.07	7837.34	5803.49	6462.54	5820.23
gene300	275.29	25.58	93.41	17.29	142.84	119.87	50.13	10.63	283.42	128.43	49.29	207.01	122.07	127.41	5.08	125.22	294.88	223.97	173.27	68.67	200.26	21.83	54.54	2.63	37.4	251.92	189.65	111.63	0	10.97	141.02	169	36.96	59.53	259.64	132.88	6.24	51.21	9.55	14.84	291.54	540.92	5.34	165.63	0.47	286.44	19.91	55.68	141.78	20.35	5.38	133.82	23.88	113.08	40.94	113	18.58	40.81	16.71	191.07	73.76	131.07	3.36	190.67	274.84	36.34	0.98	258.68	188.44	6.03	256.07	8.61	102.61	0	360.01	17.54	301.85	31.06	266.69	203.36	3.61	160.29	138.46	12.24	375.02	311.1	12.03	2.24	94.11	42.47	0	2.17	327.58	3.99	0	34.12
gene301	562.66	624.32	1087.36	542.32	795.82	441.55	1121.31	577.77	915.72	1448.4	224.3	415.48	469.82	1404.27	888.93	779.31	1127.57	482.82	811.45	357.08	971.25	555.66	1150.96	409.97	1196.86	810.39	759.99	394.34	1171.7	1121.86	983.65	912.12	416.78	1223.01	223.01	1117.77	1046.15	748.21	520.41	543.67	751.63	970.05	318.14	713.64	737.97	1268.88	1043.41	1003.34	810.09	425.51	660.18	1795.39	707.04	449.06	1141.07	1120.6	1549.15	740.58	688.46	674.92	840.5	896.99	691.33	568.77	629.2	203.08	1754.62	468.59	574.28	601.1	632.04	669.79	594.01	90.82	630.63	1283.65	695.05	650.45	1160.61	685.53	454.99	396.39	692.66	989.06	796.94	77.77	900.82	489.32	514.99	1360.51	1815.61	720.75	883.36	728.31	392.21	565.15
gene302	690.92	493.29	444.16	514.99	441.58	243.4	232.19	191.4	507.9	428.09	208.12	142.41	669.95	561.81	236.36	327.87	561.97	370.83	121.8	65.92	372.98	128.04	486.68	123.52	680.75	517.94	151.28	430.74	395.11	316.52	1250.01	373.33	519.44	187.88	122.65	592.11	20.8	358.95	235.92	273.69	620.67	547.24	317.38	880.06	273.75	205.74	676.4	504.05	353.34	244.22	235.01	490.66	651.5	111.16	140.38	465.28	218.32	662.79	43.88	357.88	428.82	185.53	931.29	155.12	703.52	455.33	254.54	313.81	207.13	351.35	107.71	1001.58	808.28	0	105.65	567.26	454.16	469.77	172.53	530.83	960.53	455.03	371.35	125.25	305.39	291.66	249.53	404.08	209.13	425.42	0	810.91	2.84	251.42	167.05	238.87
gene303	115.91	114.33	0	0	0	0	7.92	154.18	1.25	0	2.74	20.55	0	4.01	11.44	23.07	25.38	91.79	106.36	0	0	3.97	62.33	0	0	165.6	109.3	14.39	0	219.2	0	0	178.62	0	602.12	0	39.52	0	68.43	0	0	9.66	91.55	70.48	16.81	18.08	124.39	0	10.34	40.72	0	0	20.53	3.83	83.84	6.65	23.23	12.09	55.37	0	5.15	38.01	45.31	0	0	184.04	177.19	2.12	606.23	0	8.13	120.53	0	0	0	45.32	74.47	1.27	13.26	160.14	39.72	10.83	84.94	125.25	234.27	2197.14	0	0	18.3	0	416.58	0	0.41	0	72.63	0
gene304	33.81	131.03	624.34	209.58	81.62	167.57	31.66	106.33	80.28	45.19	0	99.83	220.02	88.28	414.44	87.32	143.82	192.76	48.1	82.4	503.73	259.97	304.83	315.36	531.13	327.7	131.7	89.79	167.99	97.15	13.93	93.57	422.94	18.6	136.99	5.86	241.26	242.11	89.12	59.38	2.28	31.41	1.53	288.91	520.08	16.36	155.49	502.49	177.51	90.65	230.2	22.3	36.1	383.32	150.13	39.88	355.36	172.51	386.47	9.32	32.61	314.22	77.19	24.24	22.47	324.93	476.64	4.24	157.68	435.73	400.36	84.13	44.47	25.95	250.3	33.63	305.18	462.16	323.31	117.06	83.05	19.49	216.42	119.32	37.65	38.89	100.8	106.36	128.09	102.78	3.16	340.4	84.12	125.71	181.58	595.03
gene305	1.4	11.55	15.18	25.73	28.8	2.05	18.65	38.71	10.65	4.76	32.18	29.14	34.95	12.72	52.85	16.97	7.61	21.26	21.43	45.54	27.54	79.38	11.38	58.92	7.03	9.78	20.57	26.46	4.77	27.28	15.67	5.51	140.04	186.76	8.97	4.46	12.35	7.49	24.56	9.56	13.26	18.88	7.8	18.52	6.87	7.68	10.12	7.69	26.89	7.81	12.59	19.18	16.27	8.82	22.69	6.89	7.78	17.35	8.8	2.01	19.42	31.92	19.2	17.42	7.48	17.91	15.73	33.1	6.9	14.3	29.26	7.68	6.01	76.42	10.83	29.14	16.41	13.5	19.96	40.08	15.67	15.73	8.19	15.39	11.92	5.44	21.15	3.34	47.29	8.47	31.61	1.98	40.5	48.77	7.48	13.78
gene306	451.58	429.57	454.75	788.64	438.77	346.14	545.46	393.44	201.96	599.37	722.93	425.76	1121.11	767.51	612.5	485.69	157.11	300.39	387.58	378.86	1141.7	712.43	378.46	463.73	425.17	503.85	530.75	1038.62	1576.31	246.02	649.38	624.34	246.37	373.9	140.18	441.66	395.17	1027.38	245.09	449.31	524.92	602.81	598.9	516.29	500.23	785.14	824.1	18.78	161.12	603.92	294.14	414.83	229.41	680.39	610.26	248.22	1154.33	482.16	228.78	982.34	915.97	290.56	585.62	481.53	409.46	10.69	173.99	415.58	696.42	213.56	160.57	638.57	475.82	1271.43	186.91	656.46	769.53	82.95	444.32	418.14	418.88	361.74	644.21	168.44	207.08	174.99	1140.94	236.27	575.11	366.99	315.76	1434.99	222.58	409.03	239.69	545.98
gene307	65.06	31.67	302.93	39.99	41.12	11.35	13.96	149.56	53.75	25.33	11.12	270.27	18.14	10.29	24.46	7.04	228.32	14.82	23.66	31.95	370.53	87.38	91.15	11.69	26.18	278.65	15.53	181.71	183.13	237.22	7.03	11.96	98.18	8.8	10.39	15.48	17.05	452.06	87.6	9.71	47.81	36.63	17.25	344.3	138.12	5.39	68.52	610.85	1.17	15.3	24.83	106.81	71.16	196.55	103.9	40.61	19	27.73	250.68	10.18	119.42	21.13	13.64	226.14	82.23	5.26	37.31	37	1.2	25.92	140.76	3.29	11.33	9.08	69.7	61.29	99.92	21.23	20.59	102.68	86.36	234.78	361.07	5.54	7.57	68.44	20.71	8.22	103.26	13.81	12.95	866.51	11.61	39.53	51.06	55.66
gene308	64.5	29.85	136.6	161.51	84.76	73.38	41.11	117.63	48.7	27.4	146.48	124.62	149.69	123.21	166.09	54.09	51.54	50.65	55.33	53.92	32.67	68.17	73.78	73.69	132.02	69.13	83.97	49.66	100.34	29.29	93.39	140.09	53.32	85.51	102.12	155.61	71.5	45.86	91.18	24.6	8.14	82.59	225.12	34.41	70.79	111.68	59.54	193.97	78.6	76.57	9.24	92.91	75.98	96.62	188.5	71.28	45.06	139.88	22.18	69.08	98.46	81.87	49.5	65.52	75.85	14.92	5.03	55.4	16.35	113.09	144.05	33.59	74.96	110.93	12.19	76.58	86.36	92.79	96.46	159.68	82.69	56.06	82.96	72.34	106.78	19.44	102.49	27.79	31.94	95.79	163.99	46.36	166.22	96.94	86.51	109.58
gene309	19.32	15.42	74.68	0	242.32	25.69	0	21.27	1.25	186.55	8.22	86.62	5.68	97.31	55.47	6.59	36.26	14.69	68.62	13.73	35.05	0	15.58	10.46	46.75	1.76	0	9.71	11.92	45.44	0	0.95	86.23	0	1.59	173.92	3.76	108.38	1.59	0	50.11	57.99	2.29	211.44	13.08	86.08	17.28	1065.92	81.01	38.85	0	20.07	214.39	69	1.95	50.96	2.32	22.67	3.13	0	77.19	9.48	8.39	3.23	33.33	284.31	28.5	10.6	0.39	79.02	264.2	130.5	267.93	0	17.07	2.92	36.5	1.9	111.09	7.41	146.03	233.91	5.82	84.94	22.95	0	0	1.68	88.88	0	0	21.18	50.79	91.79	29.05	4.27
gene310	490.05	239.46	643.73	532.82	464.36	1026.25	290.13	529.12	548.19	362.73	594.39	338.64	498.69	1723.35	142.23	113.88	691.28	225.81	393.2	313.63	291.55	656.57	342.53	168.27	196.78	345.4	412.8	463.4	433.79	318.96	506.55	211.35	686.19	1142.09	654.33	689.58	838.04	92.93	579.2	584.39	458.23	637.75	381.52	229.49	565.31	353.82	253.36	125.26	330.24	885.28	523.34	424.38	347.23	1479.44	284.85	624.81	664.15	645.08	283.12	796.14	289.9	385.93	684.74	360.77	693.5	500.67	257.03	570.17	917.36	226.99	1164.54	564.58	1006.33	41	782.04	403.34	437.03	959.03	342.53	240.31	198.34	732.48	826.71	177.97	550.35	547.15	115.64	782.91	405.01	200.74	480.35	2304.35	12.15	674.3	459.4	520.56
gene311	20.31	8.21	53.09	21.87	41.42	8.17	7.73	41.79	10.62	10.61	30.81	39.7	30.63	65.98	20.84	71.67	74.57	11.91	110.26	25.02	2.75	33.76	38.48	40.89	65.64	22.14	18.42	97.25	9.26	25.4	1.97	6.97	22.44	31.9	4.76	14.5	15.85	10.98	90.79	2	9.99	10.24	15.62	138.61	4.73	20.45	102.67	53.99	28.01	16.15	26.5	28.37	22.46	82.16	18.74	45.04	10.47	28.87	31.51	13.27	28.41	64.07	10.22	18.29	7.16	38.22	7.3	29.56	2.71	13.37	2.82	5.43	319.25	55.01	14.85	14.37	21.46	32.06	30.56	27.58	3.86	5.26	40.58	32.27	22.15	0	25.06	2.6	16	6.45	54.83	1.35	15.85	17.48	0	16.21
gene312	17.24	185.96	481.17	455.9	178.29	164.58	465.38	39.61	186.23	13.39	28.94	124.41	335.34	263.36	30.22	385.07	368.05	354.73	53.75	32.19	874.5	37.76	167.51	48.04	271.21	38.78	110.71	10.97	40.77	241.01	3.48	59.81	204.2	193.13	0	100.91	1241.65	25.27	442.13	530.11	79.89	362.88	732.79	15.55	4.92	842.31	820.82	1482.33	15.75	85.1	396.42	456.3	233.52	636.54	288.99	693.52	9.45	124.49	362.42	941.38	98.66	448.7	399.65	32.69	414.72	444.98	457.34	369.15	238.27	88.91	408.8	76.89	165.94	38.92	250.8	193.15	17.55	591.27	250.79	171.94	281.39	212.3	17.23	426.71	370.73	0	332.91	5.73	49.9	1574.51	2356.17	223.21	951.91	188.82	8.79	408.72
gene313	533.64	326.29	667.98	716.93	443.67	423.2	625.32	300.5	545.67	849.05	30.12	512.25	658.64	427.37	373.34	547.15	468.91	739.91	373.37	1003.76	590.19	527.56	367.21	709.24	409.57	408.72	974.45	1264.3	661.48	847.71	73.12	431.58	513.32	524.58	745.43	1203.75	576.11	1200.6	262.51	534.39	1551.11	677.04	175.5	311.71	444.16	1193.54	742.9	1122.38	1602.93	384.84	272.02	981.33	730.92	440.82	488.25	1151.55	966.2	510.46	1331.94	1542.59	747.87	244.78	610.81	804.99	122.73	553.73	174.87	551.28	405.38	492.59	634.07	433.22	680.64	170.48	1002.5	992.34	116.82	308.7	1092.64	479.44	547.11	1379.81	534.64	627.39	125.5	174.99	1169.36	1301.3	1056.12	666.27	1723.5	1433.16	1674.14	738.35	384.95	1119.9
gene314	14.49	35.97	98.7	138.28	5.1	0	166.23	55.83	2.51	0	35.6	229.03	430.34	12.4	0	168.05	2.42	18.36	18.87	5.49	5.01	53.58	82.37	52.56	153.36	12.33	11.84	0	0	0	20.89	12.41	0	11.16	0	13.68	0	5.97	335.8	0	493.12	0	0.76	14.98	0	0.86	0	36	85.16	83.25	10.76	35.68	0	159.08	0	19.94	111.48	133	219.38	0	85.76	0	36.92	14.54	98.53	14.96	394.04	82.69	0	0	0	374.02	0	51.9	5.69	33.63	1.46	89.39	24.87	2.97	106.53	166.79	1.16	376.67	0	816.64	0	6.72	83.65	1.39	0	13.58	77.19	69.84	0	0
gene315	823.35	1205.35	1047.1	672.31	653.87	1242.69	709.25	555.6	566.92	1129.68	301.22	436.02	581.53	854.72	583.27	784.27	743.25	473.88	446.42	521.89	660.8	367.11	494.19	294.33	617.42	482.71	302.83	428.06	930.48	836.58	816.53	438.37	774.02	718.08	893.4	527.62	553.05	704.72	797.33	227.3	1019.43	494.46	647.08	940.62	502.11	583.19	935.45	916.99	368.86	357.2	489.59	323.55	495.73	364.15	717.49	418.75	462.22	515.39	673.81	432.48	387.66	574.94	307.07	297.31	712.44	594.28	568.7	294.72	143.28	938.94	331.26	372.91	978.24	90.82	397.4	390.36	427.7	709.57	565.44	341.04	671.61	1100.32	271.03	738.8	660.91	19.44	889.16	443.86	522.46	334.08	924.71	2176.21	370.19	662.46	980.54	682.45
gene316	721.08	562.63	705.01	348.34	163.55	712.75	1223.02	491.72	679.17	1490.68	695.55	829.03	1116.88	1325.04	1255.38	1004.61	1847.75	1466.8	1332.77	735.64	152.25	185.27	425.14	875.88	1034.57	559.77	1733.03	1013.35	1531.38	1276.92	1734.19	968.17	2899.42	1490.95	1478.14	231.27	727.94	1309.15	485.04	136.04	1360.8	1622.5	1455.14	1395.26	642.35	1015.2	1133.89	812.77	691.88	1182.78	1078.24	1085.02	418.59	1180.41	2036.49	1625.37	1258.85	564.92	1622.77	2200	1353.49	1103.09	1137.46	630.27	1652.52	304.02	388.93	713.83	1501.57	2158.29	1085.24	1493.18	906.46	12.97	1356.56	814.25	1178.01	334.51	1121.09	817.7	1399.65	644.39	982.75	998.95	1106.51	0	871.95	1113.02	546.67	164.07	10.28	821.02	535.12	482.96	853.07	980.63
gene317	2777.6	3413.33	1840.09	2504.07	1999.52	3971.72	2014.12	1502.1	1862.64	4966.3	3752.01	1478.48	1618.07	1907.13	2673.56	1606.08	2621.32	1774.85	1957.59	1677.98	2508.19	1397.06	1699.82	1794.91	1512.68	1802.27	1843.81	2107.59	2091.39	2973.17	2175.95	1335.79	2132.32	2583.21	2273.1	2743.43	2058.01	2857.77	1729.92	2301.24	3591.13	1465.6	4797.05	1755.65	1486.64	1597.72	3366.8	2070.46	2787.88	1696.42	1965.43	2004.59	1592.29	714.53	2138.87	2226.71	2246.81	3223.65	2787.8	2048.41	1551.79	1225.47	1493.4	2063.41	2869.34	1522.07	3391.45	2554.92	1137.26	2949.68	3970.16	2611.26	2541.59	363.27	2383.43	1718.31	2936.82	2167.43	1875.22	2102.94	4030.05	1635.35	1581.08	1874.68	3172.04	38.89	1535.38	2055.04	1537.12	1738.83	2122.34	3665.73	2955.54	2384.43	1380.02	1362.82
gene318	116.01	931.37	444.16	69.14	211.71	118.64	427.86	74.43	511.8	651.65	271.1	198.2	352.29	243.78	346.91	336.01	385.97	128.53	123.12	85.15	130.17	123.04	151.38	44.68	233.77	59.9	77.7	70.37	115.58	134.76	139.28	134.63	96.5	13.02	156.25	211.05	72.79	112.99	140.05	405.43	119.58	35.03	92.31	27.31	414.34	32.71	91.57	131.49	129.27	111	53.82	13.38	228.27	21.08	62.39	15.51	20.9	63.48	64.77	1.86	24.01	53.69	72.15	53.32	22.47	23.51	19.66	55.13	0.78	48.22	154.45	139.11	15.96	0	8.13	32.16	94.91	67.85	144.12	37.31	218.47	97.47	88.43	61.19	412.06	0	42.09	170.38	104.57	195.65	137.35	130.35	52.83	280.01	354.95	178.72
